Annotation,Lineage Name,Function Name,R,G,B
NR_1,,Nerve Ring,0,0,128
NR_2,,Nerve Ring,0,0,128
NR_3,,Nerve Ring,0,0,128
NR_4,,Nerve Ring,0,0,128
NR_5,,Nerve Ring,0,0,128
NR_6,,Nerve Ring,0,0,128
NR_7,,Nerve Ring,0,0,128
NR_8,,Nerve Ring,0,0,128
NR_9,,Nerve Ring,0,0,128
hyp11_Cpappv,Cpappv,hyp11,0,128,0
hyp1DR,ABaraaapppp,hyp1,0,128,0
hyp4_ABarpapapa,ABarpapapa,hyp4,0,128,0
hyp4_ABplaappaa,ABplaappaa,hyp4,0,128,0
hyp4_ABpraappaa,ABpraappaa,hyp4,0,128,0
hyp5_ABarpappap,ABarpappap,hyp5,0,128,0
hyp5_ABplaaapap,ABplaaapap,hyp5,0,128,0
hyp6_ABarpaapaa,ABarpaapaa,hyp6,0,128,0
hyp6_ABarpapapp,ABarpapapp,hyp6,0,128,0
hyp6_ABplaaaapa,ABplaaaapa,hyp6,0,128,0
hyp6_ABplaaaapp,ABplaaaapp,hyp6,0,128,0
hyp6_ABplaappap,ABplaappap,hyp6,0,128,0
hyp6_ABpraappap,ABpraappap,hyp6,0,128,0
hyp7_ABarpaapap,ABarpaapap,hyp7,0,128,0
hyp7_ABarpaappa,ABarpaappa,hyp7,0,128,0
hyp7_ABarpaappp,ABarpaappp,hyp7,0,128,0
hyp7_ABarppaapa,ABarppaapa,hyp7,0,128,0
hyp7_ABarpppapa,ABarpppapa,hyp7,0,128,0
hyp7_ABplaapppa,ABplaapppa,hyp7,0,128,0
hyp7_ABplaapppp,ABplaapppp,hyp7,0,128,0
hyp7_ABplappppa,ABplappppa,hyp7,0,128,0
hyp7_ABpraapppa,ABpraapppa,hyp7,0,128,0
hyp7_ABpraapppp,ABpraapppp,hyp7,0,128,0
hyp7_ABprappppa,ABprappppa,hyp7,0,128,0
hyp7_Caaaaa,Caaaaa,hyp7,0,128,0
hyp7_Caaaap,Caaaap,hyp7,0,128,0
