Positional Model Cell Name,Lineage Name,Function Name
ABPRPPPPPAA_VR19_VBW_Muscle,ABprpppppaa,VR19_VBW_Muscle
ADAL,ABplapaaaapp,ADAL
ADAR,ABprapaaaapp,ADAR
ADEL,ABplapaaaapa,ADEL
ADER,ABprapaaaapa,ADER
ADEshL,ABarppaaaa,ADEshL
ADEshR,ABarpppaaa,ADEshR
ADFL,ABalpppppaa,ADFL
ADFR,ABpraaappaa,ADFR
AFDL,ABalpppapav,AFDL
AFDR,ABpraaaapav,AFDR
AIAL,ABplppaappa,AIAL
AIAR,ABprppaappa,AIAR
AIYL,ABplpapaaap,AIYL
AIYR,ABprpapaaap,AIYR
AIZL,ABplapaaapav,AIZL
AIZR,ABprapaaapav,AIZR
ALA_RMED,ABalapppaaa,ALA_RMED
Arc_Post_DL,ABalpaapaaa,Arc_Post_DL
Arc_Post_DR,ABaraaapaaa,Arc_Post_DR
ASGL,ABplaapapap,ASGL
ASHL,ABplpaappaa,ASHL
AUAL,ABalpppppppp,AUAL
AVDL,ABalaaapalr,AVDL
AVDR,ABalaaapprl,AVDR
AVEL,ABalpppaaaa,AVEL
AVER,ABpraaaaaaa,AVER
AVG,ABprpapppap,AVG
AVHL,ABalapaaaaa,AVHL
AVHR,ABalappapaa,AVHR
AVJL,ABalapapppa,AVJL
AVJR,ABalapppppa,AVJR
AVKL,ABplpapapap,AVKL
AVKR,ABprpapapap,AVKR
AWBL,ABalpppppap,AWBL
AWBR,ABpraaappap,AWBR
AWCR,ABprpaaaaap,AWCR
B,ABprppppapa,B
CANL,ABalapaaapa,CANL
CANR,ABalappappa,CANR
CAPAAAA_VL10_VBW_Muscle,Capaaaa,VL10_VBW_Muscle
CAPAAAP_VL12_VBW_Muscle,Capaaap,VL12_VBW_Muscle
CAPAAPA_VL14_VBW_Muscle,Capaapa,VL14_VBW_Muscle
CAPAAPP_VL16_VBW_Muscle,Capaapp,VL16_VBW_Muscle
CAPAPAA_DL14_DBW_Muscle,Capapaa,DL14_DBW_Muscle
CAPAPAP_DL18_DBW_Muscle,Capapap,DL18_DBW_Muscle
CAPAPPA_VL19_VBW_Muscle,Capappa,VL19_VBW_Muscle
CAPAPPP_VL22_VBW_Muscle,Capappp,VL22_VBW_Muscle
CAPPAAA_DL12_DBW_Muscle,Cappaaa,DL12_DBW_Muscle
CAPPAAP_DL17_DBW_Muscle,Cappaap,DL17_DBW_Muscle
CAPPAPA_DL20_DBW_Muscle,Cappapa,DL20_DBW_Muscle
CAPPAPP_DL24_DBW_Muscle,Cappapp,DL24_DBW_Muscle
CAPPPAA_DL19_DBW_Muscle,Capppaa,DL19_DBW_Muscle
CAPPPAP_DL21_DBW_Muscle,Capppap,DL21_DBW_Muscle
CAPPPPD_DL23_DBW_Muscle,Cappppd,DL23_DBW_Muscle
CAPPPPV_VL23_VBW_Muscle,Cappppv,VL23_VBW_Muscle
CEPshVL,ABplpaaapap,CEPshVL
CEPVL,ABplpaappppa,CEPVL
CPPAAAA_VR10_VBW_Muscle,Cppaaaa,VR10_VBW_Muscle
CPPAAAP_VR12_VBW_Muscle,Cppaaap,VR12_VBW_Muscle
CPPAAPA_VR14_VBW_Muscle,Cppaapa,VR14_VBW_Muscle
CPPAAPP_VR16_VBW_Muscle,Cppaapp,VR16_VBW_Muscle
CPPAPAA_DR14_DBW_Muscle,Cppapaa,DR14_DBW_Muscle
CPPAPAP_DR18_DBW_Muscle,Cppapap,DR18_DBW_Muscle
CPPAPPA_VR20_VBW_Muscle,Cppappa,VR20_VBW_Muscle
CPPAPPP_VR21_VBW_Muscle,Cppappp,VR21_VBW_Muscle
CPPPAAA_DR12_DBW_Muscle,Cpppaaa,DR12_DBW_Muscle
CPPPAAP_DR17_DBW_Muscle,Cpppaap,DR17_DBW_Muscle
CPPPAPA_DR20_DBW_Muscle,Cpppapa,DR20_DBW_Muscle
CPPPAPP_DR24_DBW_Muscle,Cpppapp,DR24_DBW_Muscle
CPPPPAA_DR19_DBW_Muscle,Cppppaa,DR19_DBW_Muscle
CPPPPAP_DR21_DBW_Muscle,Cppppap,DR21_DBW_Muscle
CPPPPPD_DR23_DBW_Muscle,Cpppppd,DR23_DBW_Muscle
CPPPPPV_VR24_VBW_Muscle,Cpppppv,VR24_VBW_Muscle
DA1,ABprppapaap,DA1
DA2,ABplppapapa,DA2
DA3,ABprppapapa,DA3
DA4,ABplppapapp,DA4
DA5,ABprppapapp,DA5
DA7,ABprpppaaap,DA7
DA8,ABprpapappp,DA8
DAAAA_VL06_VBW_Muscle,Daaaa,VL06_VBW_Muscle
DAAAP_DL08_DBW_Muscle,Daaap,DL08_DBW_Muscle
DAAPA_VL03_VBW_Muscle,Daapa,VL03_VBW_Muscle
DAAPP_VL05_VBW_Muscle,Daapp,VL05_VBW_Muscle
DAPAA_VL08_VBW_Muscle,Dapaa,VL08_VBW_Muscle
DAPAP_DL10_DBW_Muscle,Dapap,DL10_DBW_Muscle
DAPPAA_DL07_DBW_Muscle,Dappaa,DL07_DBW_Muscle
DAPPAP_DL09_DBW_Muscle,Dappap,DL09_DBW_Muscle
DAPPPA_DL11_DBW_Muscle,Dapppa,DL11_DBW_Muscle
DAPPPP_DL13_DBW_Muscle,Dapppp,DL13_DBW_Muscle
DB1,ABplpaaaapp,DB1
DB2,ABarappappa,DB2
DB3,ABprpaaaapp,DB3
DB4,ABprpappapp,DB4
DB5,ABplpapappp,DB5
DB6,ABplppaappp,DB6
DB7,ABprppaappp,DB7
DD2,ABprppappap,DD2
DD3,ABplppapppa,DD3
DD5,ABplppapppp,DD5
DPAAA_VR06_VBW_Muscle,Dpaaa,VR06_VBW_Muscle
DPAAP_DR08_DBW_Muscle,Dpaap,DR08_DBW_Muscle
DPAPA_VR03_VBW_Muscle,Dpapa,VR03_VBW_Muscle
DPAPP_VR05_VBW_Muscle,Dpapp,VR05_VBW_Muscle
DPPAA_VR08_VBW_Muscle,Dppaa,VR08_VBW_Muscle
DPPAP_DR10_DBW_Muscle,Dppap,DR10_DBW_Muscle
DPPPAA_DR07_DBW_Muscle,Dpppaa,DR07_DBW_Muscle
DPPPAP_DR09_DBW_Muscle,Dpppap,DR09_DBW_Muscle
DPPPPA_DR11_DBW_Muscle,Dppppa,DR11_DBW_Muscle
DPPPPP_DR13_DBW_Muscle,Dppppp,DR13_DBW_Muscle
DVA,ABprppppapp,DVA
e2DL,ABalpaapaap,e2DL
e2DR,ABaraaapaap,e2DR
e3D,ABaraapaaaa,e3D
e3VL,ABalpaaaaaa,e3VL
e3VR,ABarapaaaaa,e3VR
exc_cell,ABplpappaap,exc_cell
exc_duct,ABplpaaaapa,exc_duct
exc_gl_L,ABplpapapaa,exc_gl_L
exc_gl_R,ABprpapapaa,exc_gl_R
F,ABplppppapp,F
FLPL,ABplapaaapad,FLPL
FLPR,ABprapaaapad,FLPR
G1,ABprpaaaapa,G1
G2,ABplapaapa,G2
H0L,ABplaaappa,H0L
H0R,ABarpapppa,H0R
H1L,ABplaaappp,H1L
H1R,ABarpapppp,H1R
H2L,ABarppaaap,H2L
H2R,ABarpppaap,H2R
hyp11_Cpappv,Cpappv,hyp11
hyp1DR,ABaraaapppp,hyp1
hyp4_ABarpapapa,ABarpapapa,hyp4
hyp4_ABplaappaa,ABplaappaa,hyp4
hyp4_ABpraappaa,ABpraappaa,hyp4
hyp5_ABarpappap,ABarpappap,hyp5
hyp5_ABplaaapap,ABplaaapap,hyp5
hyp6_ABarpaapaa,ABarpaapaa,hyp6
hyp6_ABarpapapp,ABarpapapp,hyp6
hyp6_ABplaaaapa,ABplaaaapa,hyp6
hyp6_ABplaaaapp,ABplaaaapp,hyp6
hyp6_ABplaappap,ABplaappap,hyp6
hyp6_ABpraappap,ABpraappap,hyp6
hyp7_ABarpaapap,ABarpaapap,hyp7
hyp7_ABarpaappa,ABarpaappa,hyp7
hyp7_ABarpaappp,ABarpaappp,hyp7
hyp7_ABarppaapa,ABarppaapa,hyp7
hyp7_ABarpppapa,ABarpppapa,hyp7
hyp7_ABplaapppa,ABplaapppa,hyp7
hyp7_ABplaapppp,ABplaapppp,hyp7
hyp7_ABplappppa,ABplappppa,hyp7
hyp7_ABpraapppa,ABpraapppa,hyp7
hyp7_ABpraapppp,ABpraapppp,hyp7
hyp7_ABprappppa,ABprappppa,hyp7
hyp7_Caaaaa,Caaaaa,hyp7
hyp7_Caaaap,Caaaap,hyp7
hyp7_Caaapa,Caaapa,hyp7
hyp7_Caaapp,Caaapp,hyp7
hyp7_Caappd,Caappd,hyp7
hyp7_Cpaaaa,Cpaaaa,hyp7
hyp7_Cpaaap,Cpaaap,hyp7
hyp7_Cpaapa,Cpaapa,hyp7
hyp7_Cpaapp,Cpaapp,hyp7
hyp7_Cpapaa,Cpapaa,hyp7
hyp7_Cpapap,Cpapap,hyp7
hyp7_Cpappd,Cpappd,hyp7
Hyp7a,,
Hyp7b,,
hyp8/9_ABplpppapap,ABplpppapap,hyp8/9
hyp8/9_ABprpppapap,ABprpppapap,hyp8/9
I5,ABarapapapp,I5
IL1DR,ABalappppaaa,IL1DR
IL1L,ABalapaappaa,IL1L
IL2L,ABalapaappp,IL2L
int1dl,Ealaad,int
int1dr,Earaad,int
int1vl,Ealaav,int
int1vr,Earaav,int
int2d,Earpa,int
int2v,Ealpa,int
int3d,Earap,int
int3v,Ealap,int
int4d,Epraa,int
int4v,Eplaa,int
int5l,Ealpp,int
int5r,Earpp,int
int6l,Eplap,int
int6r,Eprap,int
int7l,Eplpa,int
int7r,Eprpa,int
int8l,Eplppa,int
int8r,Eprppa,int
int9l,Eplppp,int
int9r,Eprppp,int
K,ABplpapppaa,K
K',ABplpapppap,K'
LUAR,ABprpppaapap,LUAR
M3L,ABaraapappp,M3L
M3R,ABaraappppp,M3R
mc1DL,ABalpaapapa,mc1DL
mc1DR,ABaraaapapa,mc1DR
mc1V,ABalpappppa,mc1V
mc2DL,ABaraapaapp,mc2DL
mc2DR,ABaraappapp,mc2DR
mc3V,ABalpappapp,mc3V
MI,ABaraappaaa,MI
MSAAPPPAA_VL07_VBW_Muscle,MSaapppaa,VL07_VBW_Muscle
MSAAPPPAP_VL09_VBW_Muscle,MSaapppap,VL09_VBW_Muscle
MSAAPPPPA_VL11_VBW_Muscle,MSaappppa,VL11_VBW_Muscle
MSAAPPPPP_VL13_VBW_Muscle,MSaappppp,VL13_VBW_Muscle
MSAPAAAP_DL02_DBW_Muscle,MSapaaap,DL02_DBW_Muscle
MSAPAPAP_VL02_VBW_Muscle,MSapapap,VL02_VBW_Muscle
MSAPAPPA_DL01_DBW_Muscle,MSapappa,DL01_DBW_Muscle
MSAPAPPP_DL04_DBW_Muscle,MSapappp,DL04_DBW_Muscle
MSAPPAPP_VL01_VBW_Muscle,MSappapp,VL01_VBW_Muscle
MSAPPPAA_VL04_VBW_Muscle,MSapppaa,VL04_VBW_Muscle
MSAPPPAP_DL06_DBW_Muscle,MSapppap,DL06_DBW_Muscle
MSAPPPPA_DL03_DBW_Muscle,MSappppa,DL03_DBW_Muscle
MSAPPPPP_DL05_DBW_Muscle,MSappppp,DL05_DBW_Muscle
MSPAPPAA_VL15_VBW_Muscle,MSpappaa,VL15_VBW_Muscle
MSPAPPAP_VR15_VBW_Muscle,MSpappap,VR15_VBW_Muscle
MSPAPPPAA_VR07_VBW_Muscle,MSpapppaa,VR07_VBW_Muscle
MSPAPPPAP_VR09_VBW_Muscle,MSpapppap,VR09_VBW_Muscle
MSPAPPPPA_VR11_VBW_Muscle,MSpappppa,VR11_VBW_Muscle
MSPAPPPPP_VR13_VBW_Muscle,MSpappppp,VR13_VBW_Muscle
MSPPAAAP_DR02_DBW_Muscle,MSppaaap,DR02_DBW_Muscle
MSPPAPAP_VR02_VBW_Muscle,MSppapap,VR02_VBW_Muscle
MSPPAPPA_DR01_DBW_Muscle,MSppappa,DR01_DBW_Muscle
MSPPAPPP_DR04_DBW_Muscle,MSppappp,DR04_DBW_Muscle
MSPPPAPP_VR01_VBW_Muscle,MSpppapp,VR01_VBW_Muscle
MSPPPPAA_VR04_VBW_Muscle,MSppppaa,VR04_VBW_Muscle
MSPPPPAP_DR06_DBW_Muscle,MSppppap,DR06_DBW_Muscle
MSPPPPPA_DR03_DBW_Muscle,MSpppppa,DR03_DBW_Muscle
MSPPPPPP_DR05_DBW_Muscle,MSpppppp,DR05_DBW_Muscle
Mu_Anal,ABplpppppap,Mu_Anal
Mu_int_L,ABplpppppaa,Mu_int_L
Mu_Int_R,MSppaapp,Mu_Int_R
NR_1,,Nerve Ring
NR_2,,Nerve Ring
NR_3,,Nerve Ring
NR_4,,Nerve Ring
NR_5,,Nerve Ring
NR_6,,Nerve Ring
NR_7,,Nerve Ring
NR_8,,Nerve Ring
NR_9,,Nerve Ring
NSML,ABaraapapaav,NSML
NSMR,ABaraapppaav,NSMR
